EmployeeID,Date,Login,Logout
EMP014,2026-08-01,14:00,22:00
EMP013,2026-08-01,09:00,18:00
EMP004,2026-08-01,09:00,18:00
EMP007,2026-08-01,14:00,12:00
EMP011,2026-08-01,14:00,22:00
EMP043,2026-08-01,14:00,22:00
EMP015,2026-08-01,09:00,18:00
EMP049,2026-08-01,14:00,22:00
EMP026,2026-08-01,09:00,18:00
EMP022,2026-08-01,09:00,18:00
EMP005,2026-08-01,09:00,18:00
EMP048,2026-08-01,14:00,22:00
EMP018,2026-08-01,09:00,18:00
EMP039,2026-08-01,14:00,22:00
EMP016,2026-08-01,09:00,18:00
EMP010,2026-08-01,14:00,22:00
EMP001,2026-08-01,14:00,22:00
EMP035,2026-08-01,14:00,22:00
EMP027,2026-08-01,09:00,18:00
EMP030,2026-08-01,14:00,22:00
EMP017,2026-08-02,14:00,22:00
EMP033,2026-08-02,09:00,18:00
EMP025,2026-08-02,14:00,22:00
EMP038,2026-08-02,09:00,18:00
EMP007,2026-08-02,14:00,12:00
EMP037,2026-08-02,09:00,18:00
EMP046,2026-08-02,09:00,18:00
EMP015,2026-08-02,09:00,18:00
EMP016,2026-08-02,09:00,18:00
EMP026,2026-08-02,09:00,18:00
EMP019,2026-08-02,09:00,18:00
EMP008,2026-08-02,09:00,18:00
EMP002,2026-08-02,09:00,18:00
EMP021,2026-08-02,14:00,22:00
EMP024,2026-08-02,09:00,18:00
EMP044,2026-08-02,09:00,18:00
EMP001,2026-08-02,14:00,22:00
EMP040,2026-08-02,14:00,22:00
EMP036,2026-08-02,14:00,22:00
EMP020,2026-08-02,09:00,18:00
EMP031,2026-08-03,14:00,22:00
EMP042,2026-08-03,14:00,22:00
EMP004,2026-08-03,09:00,18:00
EMP045,2026-08-03,14:00,22:00
EMP021,2026-08-03,14:00,22:00
EMP048,2026-08-03,14:00,22:00
EMP026,2026-08-03,09:00,18:00
EMP040,2026-08-03,14:00,22:00
EMP011,2026-08-03,14:00,22:00
EMP017,2026-08-03,14:00,22:00
EMP012,2026-08-03,14:00,22:00
EMP043,2026-08-03,14:00,22:00
EMP047,2026-08-03,09:00,18:00
EMP041,2026-08-03,09:00,18:00
EMP002,2026-08-03,09:00,18:00
EMP028,2026-08-03,09:00,18:00
EMP034,2026-08-03,14:00,22:00
EMP050,2026-08-03,09:00,18:00
EMP022,2026-08-03,09:00,18:00
EMP044,2026-08-03,09:00,18:00
EMP025,2026-08-04,14:00,22:00
EMP011,2026-08-04,14:00,22:00
EMP002,2026-08-04,09:00,18:00
EMP035,2026-08-04,14:00,22:00
EMP045,2026-08-04,14:00,22:00
EMP048,2026-08-04,14:00,22:00
EMP019,2026-08-04,09:00,18:00
EMP047,2026-08-04,09:00,18:00
EMP026,2026-08-04,09:00,18:00
EMP007,2026-08-04,14:00,22:00
EMP044,2026-08-04,09:00,18:00
EMP038,2026-08-04,09:00,18:00
EMP021,2026-08-04,14:00,22:00
EMP017,2026-08-04,14:00,22:00
EMP022,2026-08-04,09:00,18:00
EMP042,2026-08-04,14:00,22:00
EMP018,2026-08-04,09:00,18:00
EMP014,2026-08-04,14:00,22:00
EMP006,2026-08-04,09:00,18:00
EMP030,2026-08-04,14:00,22:00
EMP022,2026-08-05,09:00,18:00
EMP049,2026-08-05,14:00,22:00
EMP005,2026-08-05,09:00,18:00
EMP021,2026-08-05,14:00,22:00
EMP050,2026-08-05,09:00,18:00
EMP030,2026-08-05,14:00,22:00
EMP004,2026-08-05,09:00,18:00
EMP045,2026-08-05,14:00,22:00
EMP043,2026-08-05,14:00,22:00
EMP011,2026-08-05,14:00,22:00
EMP036,2026-08-05,14:00,22:00
EMP027,2026-08-05,09:00,18:00
EMP025,2026-08-05,14:00,22:00
EMP024,2026-08-05,09:00,18:00
EMP028,2026-08-05,09:00,18:00
EMP018,2026-08-05,09:00,18:00
EMP016,2026-08-05,09:00,18:00
EMP039,2026-08-05,14:00,22:00
EMP020,2026-08-05,09:00,18:00
EMP042,2026-08-05,14:00,22:00
EMP047,2026-08-06,09:00,18:00
EMP013,2026-08-06,09:00,18:00
EMP006,2026-08-06,09:00,18:00
EMP048,2026-08-06,14:00,22:00
EMP009,2026-08-06,14:00,22:00
EMP029,2026-08-06,14:00,22:00
EMP046,2026-08-06,09:00,18:00
EMP018,2026-08-06,09:00,18:00
EMP028,2026-08-06,09:00,18:00
EMP026,2026-08-06,09:00,18:00
EMP011,2026-08-06,14:00,22:00
EMP027,2026-08-06,09:00,18:00
EMP038,2026-08-06,09:00,18:00
EMP043,2026-08-06,14:00,22:00
EMP044,2026-08-06,09:00,18:00
EMP020,2026-08-06,09:00,18:00
EMP017,2026-08-06,14:00,22:00
EMP004,2026-08-06,09:00,18:00
EMP050,2026-08-06,09:00,18:00
EMP049,2026-08-06,14:00,22:00
EMP018,2026-08-07,09:00,18:00
EMP019,2026-08-07,09:00,18:00
EMP027,2026-08-07,09:00,18:00
EMP017,2026-08-07,14:00,22:00
EMP003,2026-08-07,09:00,18:00
EMP036,2026-08-07,14:00,22:00
EMP024,2026-08-07,09:00,18:00
EMP020,2026-08-07,09:00,18:00
EMP011,2026-08-07,14:00,22:00
EMP021,2026-08-07,14:00,22:00
EMP049,2026-08-07,14:00,22:00
EMP048,2026-08-07,14:00,22:00
EMP029,2026-08-07,14:00,22:00
EMP043,2026-08-07,14:00,22:00
EMP032,2026-08-07,09:00,18:00
EMP008,2026-08-07,09:00,18:00
EMP039,2026-08-07,14:00,22:00
EMP028,2026-08-07,09:00,18:00
EMP012,2026-08-07,14:00,22:00
EMP010,2026-08-07,14:00,22:00
EMP019,2026-08-08,09:00,18:00
EMP009,2026-08-08,14:00,22:00
EMP032,2026-08-08,09:00,18:00
EMP042,2026-08-08,14:00,22:00
EMP003,2026-08-08,09:00,18:00
EMP039,2026-08-08,14:00,22:00
EMP026,2026-08-08,09:00,18:00
EMP048,2026-08-08,14:00,22:00
EMP018,2026-08-08,09:00,18:00
EMP038,2026-08-08,09:00,18:00
EMP049,2026-08-08,14:00,22:00
EMP006,2026-08-08,09:00,18:00
EMP015,2026-08-08,09:00,18:00
EMP029,2026-08-08,14:00,22:00
EMP030,2026-08-08,14:00,22:00
EMP045,2026-08-08,14:00,22:00
EMP012,2026-08-08,14:00,22:00
EMP043,2026-08-08,14:00,22:00
EMP027,2026-08-08,09:00,18:00
EMP037,2026-08-08,09:00,18:00
EMP039,2026-08-09,14:00,22:00
EMP034,2026-08-09,14:00,22:00
EMP015,2026-08-09,09:00,18:00
EMP042,2026-08-09,14:00,22:00
EMP020,2026-08-09,09:00,18:00
EMP049,2026-08-09,14:00,22:00
EMP047,2026-08-09,09:00,18:00
EMP011,2026-08-09,14:00,22:00
EMP024,2026-08-09,09:00,18:00
EMP046,2026-08-09,09:00,18:00
EMP019,2026-08-09,09:00,18:00
EMP004,2026-08-09,09:00,18:00
