RefundID,EmployeeID,RefundAmount,Date
RF0001,EMP009,3461.0,2026-07-05
RF0002,EMP028,3815.0,2026-07-29
RF0003,EMP033,3897.0,2026-07-06
RF0004,EMP041,1817.0,2026-07-08
RF0005,EMP049,4991.0,2026-07-07
RF0006,EMP004,246.0,2026-08-06
RF0007,EMP013,2563.0,2026-08-10
RF0008,EMP016,3122.0,2026-07-24
RF0009,EMP013,494.0,2026-07-26
RF0010,EMP042,2365.0,2026-07-27
RF0011,EMP007,3060.0,2026-07-26
RF0012,EMP002,3116.0,2026-07-23
RF0013,EMP044,771.0,2026-08-10
RF0014,EMP049,1532.0,2026-07-31
RF0015,EMP012,1374.0,2026-07-04
RF0016,EMP017,3271.0,2026-07-17
RF0017,EMP026,1778.0,2026-08-09
RF0018,EMP007,21989.0,2026-07-17
RF0019,EMP050,3708.0,2026-07-09
RF0020,EMP021,4026.0,2026-08-05
RF0021,EMP001,1082.0,2026-07-26
RF0022,EMP022,4536.0,2026-07-24
RF0023,EMP028,995.0,2026-07-18
RF0024,EMP026,305.0,2026-07-06
RF0025,EMP026,415.0,2026-07-16
RF0026,EMP047,1164.0,2026-07-18
RF0027,EMP041,4391.0,2026-08-08
RF0028,EMP013,1197.0,2026-07-13
RF0029,EMP018,3528.0,2026-07-07
RF0030,EMP007,32381.0,2026-07-18
RF0031,EMP021,391.0,2026-08-10
RF0032,EMP022,2331.0,2026-07-20
RF0033,EMP009,335.0,2026-07-16
RF0034,EMP013,2485.0,2026-07-28
RF0035,EMP007,41958.0,2026-07-27
RF0036,EMP043,2702.0,2026-07-13
RF0037,EMP040,1556.0,2026-08-09
RF0038,EMP016,3879.0,2026-07-25
RF0039,EMP007,3064.0,2026-07-03
RF0040,EMP008,1422.0,2026-07-17
RF0041,EMP020,2286.0,2026-08-07
RF0042,EMP026,720.0,2026-07-17
RF0043,EMP045,4631.0,2026-07-24
RF0044,EMP045,3814.0,2026-07-26
RF0045,EMP001,1581.0,2026-07-29
RF0046,EMP036,3439.0,2026-08-05
RF0047,EMP015,3459.0,2026-07-07
RF0048,EMP010,3126.0,2026-07-22
RF0049,EMP007,56552.0,2026-07-22
RF0050,EMP002,4416.0,2026-07-07
RF0051,EMP017,4788.0,2026-07-28
RF0052,EMP028,4875.0,2026-07-05
RF0053,EMP014,4907.0,2026-07-19
RF0054,EMP030,4658.0,2026-07-14
RF0055,EMP024,3747.0,2026-07-07
RF0056,EMP040,473.0,2026-08-03
RF0057,EMP010,2433.0,2026-07-11
