TransactionID,EmployeeID,Amount,Date,PaymentMethod
TX0001,EMP042,22909.0,2026-07-29,UPI
TX0002,EMP010,12339.0,2026-07-05,UPI
TX0003,EMP041,21144.0,2026-07-31,UPI
TX0004,EMP001,26921.0,2026-07-05,Net Banking
TX0005,EMP040,18513.0,2026-07-03,Net Banking
TX0006,EMP040,20312.0,2026-07-05,Cash
TX0007,EMP040,8012.0,2026-07-19,UPI
TX0008,EMP034,7510.0,2026-07-26,Net Banking
TX0009,EMP024,12742.0,2026-07-17,Card
TX0010,EMP036,25657.0,2026-07-06,Net Banking
TX0011,EMP014,15963.0,2026-07-09,Card
TX0012,EMP040,10766.0,2026-08-04,Net Banking
TX0013,EMP028,23498.0,2026-08-09,Net Banking
TX0014,EMP023,25673.0,2026-07-31,UPI
TX0015,EMP026,27124.0,2026-07-05,Cash
TX0016,EMP029,9318.0,2026-08-03,Card
TX0017,EMP002,21434.0,2026-07-29,Card
TX0018,EMP007,17914.0,2026-07-22,Card
TX0019,EMP013,13744.0,2026-07-06,Cash
TX0020,EMP006,12209.0,2026-08-10,Card
TX0021,EMP022,3879.0,2026-07-19,Cash
TX0022,EMP034,8607.0,2026-07-02,Cash
TX0023,EMP033,16715.0,2026-07-09,Net Banking
TX0024,EMP024,26653.0,2026-07-17,Net Banking
TX0025,EMP043,26057.0,2026-07-03,UPI
TX0026,EMP029,6034.0,2026-07-14,Net Banking
TX0027,EMP004,20540.0,2026-07-20,UPI
TX0028,EMP039,3001.0,2026-08-08,Cash
TX0029,EMP029,20412.0,2026-07-04,Card
TX0030,EMP032,10586.0,2026-07-24,Cash
TX0031,EMP007,273728.0,2026-08-07,Cash
TX0032,EMP028,21670.0,2026-08-03,Net Banking
TX0033,EMP005,13034.0,2026-08-07,Card
TX0034,EMP028,24319.0,2026-07-07,Net Banking
TX0035,EMP040,16240.0,2026-08-02,Card
TX0036,EMP016,29962.0,2026-08-10,UPI
TX0037,EMP031,19328.0,2026-07-14,Card
TX0038,EMP002,9242.0,2026-07-21,Cash
TX0039,EMP018,23370.0,2026-07-22,Cash
TX0040,EMP022,12534.0,2026-07-21,Net Banking
TX0041,EMP050,16257.0,2026-07-12,UPI
TX0042,EMP011,4536.0,2026-08-09,Card
TX0043,EMP014,4020.0,2026-08-09,Net Banking
TX0044,EMP021,17458.0,2026-07-16,Card
TX0045,EMP050,6007.0,2026-08-03,UPI
TX0046,EMP043,29928.0,2026-07-17,Net Banking
TX0047,EMP002,25742.0,2026-08-02,Card
TX0048,EMP012,21175.0,2026-07-24,Net Banking
TX0049,EMP042,22173.0,2026-07-20,Net Banking
TX0050,EMP003,18058.0,2026-07-06,Net Banking
TX0051,EMP043,2278.0,2026-07-27,Cash
TX0052,EMP015,12074.0,2026-07-14,Net Banking
TX0053,EMP046,15126.0,2026-07-09,Net Banking
TX0054,EMP015,27501.0,2026-07-08,Card
TX0055,EMP022,6974.0,2026-08-10,UPI
TX0056,EMP034,15159.0,2026-07-05,Card
TX0057,EMP007,10649.0,2026-08-02,Cash
TX0058,EMP028,4463.0,2026-08-05,Cash
TX0059,EMP026,3539.0,2026-07-02,UPI
TX0060,EMP040,11278.0,2026-07-25,Cash
TX0061,EMP050,2931.0,2026-07-24,UPI
TX0062,EMP034,2481.0,2026-07-15,Cash
TX0063,EMP021,10850.0,2026-07-28,Cash
TX0064,EMP021,6458.0,2026-07-17,Cash
TX0065,EMP021,16866.0,2026-07-19,Card
TX0066,EMP041,1021.0,2026-07-18,Card
TX0067,EMP017,9403.0,2026-08-02,Cash
TX0068,EMP009,13871.0,2026-07-26,Cash
TX0069,EMP017,28912.0,2026-07-16,Net Banking
TX0070,EMP002,19218.0,2026-08-07,Card
TX0071,EMP006,26481.0,2026-08-02,Card
TX0072,EMP005,10627.0,2026-08-08,Card
TX0073,EMP039,13766.0,2026-07-30,Cash
TX0074,EMP037,12901.0,2026-07-17,UPI
TX0075,EMP035,26678.0,2026-08-01,Card
TX0076,EMP024,28796.0,2026-07-14,UPI
TX0077,EMP036,28888.0,2026-07-12,Cash
TX0078,EMP009,22682.0,2026-07-19,Net Banking
TX0079,EMP046,15341.0,2026-08-09,Net Banking
TX0080,EMP026,16455.0,2026-07-24,Card
TX0081,EMP047,29425.0,2026-07-16,UPI
TX0082,EMP008,8893.0,2026-07-19,UPI
TX0083,EMP025,10727.0,2026-07-12,UPI
TX0084,EMP035,26961.0,2026-07-28,Net Banking
TX0085,EMP025,11896.0,2026-07-15,Net Banking
TX0086,EMP023,7435.0,2026-07-23,Cash
TX0087,EMP009,17033.0,2026-07-16,UPI
TX0088,EMP020,10097.0,2026-07-14,UPI
TX0089,EMP012,26780.0,2026-08-09,Net Banking
TX0090,EMP016,27317.0,2026-07-15,Card
TX0091,EMP035,9527.0,2026-07-03,UPI
TX0092,EMP032,16121.0,2026-07-16,UPI
TX0093,EMP031,29527.0,2026-07-22,Card
TX0094,EMP019,22398.0,2026-07-04,Cash
TX0095,EMP048,6861.0,2026-07-13,Net Banking
TX0096,EMP005,17926.0,2026-07-07,Card
TX0097,EMP018,18786.0,2026-07-21,Cash
TX0098,EMP006,19776.0,2026-07-30,UPI
TX0099,EMP017,1237.0,2026-08-09,UPI
TX0100,EMP049,9331.0,2026-07-16,UPI
TX0101,EMP019,25711.0,2026-08-05,Net Banking
TX0102,EMP046,7620.0,2026-07-09,Cash
TX0103,EMP025,9341.0,2026-08-02,Net Banking
TX0104,EMP035,10013.0,2026-07-24,UPI
TX0105,EMP023,5732.0,2026-08-01,UPI
